,quality
275,6
3066,5
3815,7
3514,6
2305,7
688,6
3315,7
153,5
5724,7
1964,5
5478,5
104,5
4523,5
294,3
1110,7
62,5
2470,5
4047,6
6383,5
1533,6
2762,5
4220,6
6256,5
824,5
5936,7
3619,6
1583,5
5432,6
1575,6
3925,5
628,6
3278,5
2374,6
3270,5
1385,5
4048,6
6145,5
4714,7
3325,7
2438,5
3902,6
1886,5
1605,9
3819,6
2884,7
638,5
1023,6
3162,7
5869,6
2816,5
1334,6
4082,6
4105,7
5445,6
361,5
5388,6
3501,6
2699,6
2730,5
3505,7
6381,5
3487,6
5637,5
1195,6
1732,5
423,6
5187,5
1201,7
759,7
1,6
1007,5
1402,8
515,6
5343,6
5847,7
5514,5
3730,6
2006,6
1512,7
3521,7
6428,6
4486,6
238,7
5458,5
566,6
1758,5
583,6
72,5
1853,5
1210,6
834,6
2611,5
6105,5
3778,7
4878,4
5531,4
2549,5
2663,8
5572,6
1131,6
4601,6
6107,7
2937,5
5702,6
296,5
1692,6
166,6
5372,6
3916,6
5007,5
5811,7
3477,7
2178,5
4793,6
3499,7
6231,5
317,5
1338,5
2426,6
3424,6
3973,4
4665,6
411,6
4084,8
1898,6
5228,6
3014,6
3524,6
950,5
4040,5
5367,5
2994,7
2007,6
3187,7
572,5
6300,6
550,7
3026,6
4541,6
1499,6
3335,6
1727,6
4054,7
1307,5
2551,6
6315,7
930,7
1297,7
5053,5
4017,6
3,6
6297,6
4869,6
162,5
1633,7
5271,5
4223,4
5969,5
5760,5
1664,4
542,6
4036,5
3294,6
3016,6
2857,8
4551,6
1029,4
2927,7
2947,6
722,6
1474,4
167,7
5818,5
203,6
2977,6
5476,5
934,5
2487,6
5150,5
6224,6
1864,6
3535,5
228,6
5591,5
1283,8
4415,5
1828,6
4997,6
3002,7
2241,5
5418,6
1486,6
5184,6
2921,6
2511,6
1494,8
3022,5
3225,7
3391,8
3379,5
1036,5
4838,6
3580,5
852,7
253,3
2709,5
2236,5
3385,6
4056,5
1775,6
1275,6
2801,5
3439,5
5593,6
4146,7
5588,3
5954,7
1979,6
4337,8
2981,7
1916,5
5819,6
386,7
4201,6
5509,5
4694,7
6466,5
1033,6
5525,5
1141,5
2954,7
669,5
532,6
5375,6
6367,3
2744,6
3290,5
4130,6
4303,6
3079,5
32,6
5489,6
879,8
5460,5
3703,6
3369,7
219,5
1281,7
5555,7
2360,6
5291,5
990,6
1001,5
1186,5
1756,5
3432,5
1053,4
4802,8
2832,6
3159,6
116,6
5472,6
1137,8
1983,8
2764,6
3814,5
4297,6
5838,7
4753,6
2560,6
2919,5
3258,6
6234,5
4083,5
2967,6
2000,5
1631,6
1649,4
4527,6
3375,6
1596,5
588,7
6152,5
3153,6
4498,5
2265,5
365,7
2434,6
4109,6
5169,6
1674,6
2450,5
1518,6
